mode,energy
4616,5.636749170629714e-09
4375,5.261810939945747e-10
4841,4.2922451586644527e-10
4832,2.734040880606959e-10
4814,2.009568616294477e-10
4227,1.2650295204511823e-10
4230,1.1869938115278797e-10
4371,9.339363994115652e-11
4848,9.094319870343151e-11
4619,8.52676046084315e-11
4800,8.241086029850708e-11
4195,7.503715546527636e-11
4856,7.435834300094682e-11
4614,5.461201653660727e-11
4780,4.9993065562981973e-11
4191,4.8853427218078703e-11
4622,3.575959222663208e-11
4626,3.563673327459873e-11
4834,3.533714205677509e-11
4185,3.332572971676832e-11
